Episode:  1
[-1.6268081895080528, 0.971372233910943]
[-0.16384682181378674, -0.0327258526690421]
[-0.16769646180049236, -0.12125974679918393]
[-0.1704443804638336, 0.011343000265533934]
[-0.17219145796634683, -0.08122610036607028]
[-0.17856473232224745, -0.17370487386995617]
[-0.18406620496133508, -0.04635403169355323]
[-0.18553146166515555, -0.01225623645925978]
[-0.18532092441345194, 0.020677726527405835]
[-0.18680335127245407, -0.07997480088748776]
[-0.18886585047433746, -0.0025251671878545046]
[-0.1882161001548659, 0.028515179966719973]
[-0.18934759216532981, -0.07377486038527253]
[-0.19113587052905334, 0.0022437258363257606]
[-0.19027937267114714, 0.03201618847993029]
[-0.19126439692904507, -0.07141715879585242]
[-0.19296109009515794, 0.003549432151342291]
[-0.1920640810288754, 0.03233093049995665]
[-0.1897239959347945, 0.06127247326328443]
[-0.18924690186786508, -0.042188710586110886]
[-0.19057441038467626, -0.010911630086336437]
[-0.19036451506691376, 0.019307442796831272]
[-0.18864925218678819, 0.0493030724081836]
[-0.1887529212203951, -0.05344983375246204]
[-0.18952263606071984, 0.022661240139467687]
[-0.18762935062274, 0.053070177379724026]
[-0.18753205987998944, -0.04917854766970026]
[-0.18918416729946586, -0.016905749109349555]
[-0.18925371128445523, 0.014123989709774215]
[-0.18778131832501632, 0.04477172866779129]
[-0.1880986790838124, -0.05746615901962922]
[-0.1890593382684509, 0.01903979163408112]
[-0.1873399196188097, 0.04973695435156198]
[-0.1874044897399174, -0.05231975919586696]
[-0.1892110774874003, -0.019943750703450995]
[-0.18943203777134787, 0.011105339345547173]
[-0.18811212509125008, 0.041691167858367045]
[-0.18858708604856655, -0.06068960615103185]
[-0.189714559052641, 0.015590685988052244]
[-0.18817540536030553, 0.04597546170537335]
[-0.18843818868552464, -0.05648679471413558]
Episode : 1 total_reward : -89.62 Avg Reward : -89.62
Episode:  2
[-1.1541292156003256, 0.43854401442115987]
[-1.1503386725477147, -0.28692229231672717]
[-1.1825989349850896, -1.0034882051782712]
[-1.2506613571686231, -1.7190086821630701]
[-1.3546225983985067, -2.4394409670322728]
[-1.4947804621549927, -3.1668735832271637]
[-1.6713856632880593, -3.8973344620954986]
[-1.8842814768065759, -4.618498078645167]
[-2.132440000517412, -5.307842869788262]
[-2.4134452381205, -5.932366634335262]
[-2.7230385196747755, -6.451364627835754]
[-3.0549080034801412, -6.823414724378882]
[2.8822668051393503, -7.017005218024894]
[2.5346373352600153, -6.888173577148484]
[2.2043577633102753, -6.323009300841131]
[1.9053888512283281, -5.635747182436766]
[1.642480836558466, -4.880573404357731]
[1.417842333425706, -4.104966720952666]
[1.23164464291309, -3.3429408995519747]
[1.0738306304270555, -2.969619599889395]
[0.9337069282486485, -2.6353284872468743]
[0.8091802864560105, -2.3457371844586454]
[0.7068501740459299, -1.7474673119445687]
[0.6265886387945896, -1.462994098109044]
[0.5596125926549393, -1.2160477474769604]
[0.501936491108661, -1.0909963143741739]
[0.44980060092351026, -0.9944392930318606]
[0.4018343839030223, -0.9242093877876614]
[0.356765031393385, -0.8785647125978342]
[0.3211726352290021, -0.545131133977488]
[0.29392419192023667, -0.5448065983731327]
[0.26633805619578865, -0.5586388306047798]
[0.2454807306470972, -0.27565419134288405]
[0.23064133114322516, -0.31792178881199473]
[0.2135038100151534, -0.36757905631087534]
[0.19366945727420104, -0.4257950533272244]
[0.178453595987496, -0.182839398140985]
[0.16733651604205413, -0.2618437996766931]
[0.1521419505339474, -0.3459388206475816]
[0.13256160540641737, -0.4372749844536169]
[0.11595352151886162, -0.22704837104861342]
[0.1017960563481286, -0.3392502357807049]
[0.0818679133993836, -0.45787548216909635]
[0.055771087193934754, -0.5859975660488661]
[0.032949028748866294, -0.32688477175387676]
[0.01269999633395269, -0.48307652484267294]
[-0.005591053630502607, -0.2485654737355443]
[-0.022470903505627415, -0.4266285212694526]
[-0.03843440638589257, -0.21191159394115]
[-0.0539391060647052, -0.4082763932113552]
[-0.06941852406627058, -0.21090032685126775]
[-0.08529446935633755, -0.4241374847514112]
[-0.10198870060817056, -0.243631765321912]
[-0.10993424610099822, -0.07419005439119086]
[-0.11956242378007298, -0.3109370527717987]
[-0.13109250902665037, -0.15026635709129157]
[-0.13701177685990684, -0.08650435623896685]
[-0.1431739160032821, -0.1599812094960437]
[-0.14973929070871428, -0.10263377872124069]
[-0.15687505247047495, -0.18279669174917906]
[-0.16253722109738566, -0.043690053327251094]
[-0.16691441926863426, -0.13139787352270027]
[-0.17015592157233383, 0.0017377813747103121]
[-0.17237671850590486, -0.09056965871754534]
[-0.17588372881955072, -0.04971075382828548]
[-0.1807395373154761, -0.14452158600872594]
[-0.18481910684714498, -0.018661195258021346]
[-0.18491749847698058, 0.014725530064600492]
[-0.18669047900738356, -0.08564475128072024]
[-0.1890333895966636, -0.008071672290487886]
[-0.18866166592929368, 0.02294061898529158]
[-0.1900763008666031, -0.07952601647765994]
[-0.19216029001339496, -0.0038335493940237775]
[-0.19161966995709045, 0.02545835164619939]
[-0.1896153607377622, 0.05471401712692729]
[-0.18946291407397498, -0.04861615057544595]
